                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.5406,                0.92939,                0.91707,                 0.7545,                0.78116,                0.83613,                0.42037,                  1.363,                0.78946,                0.88847,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.5442,                0.92581,                0.91345,                0.87552,                0.73886,                0.84599,                0.46329,                 1.2972,                0.70053,                0.87338,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.5555,                0.92268,                0.90434,                0.79933,                0.77818,                0.82891,                0.44646,                  1.313,                0.73073,                0.87688,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.5409,                0.91209,                0.90513,                0.68016,                0.67331,                0.70917,                0.33912,                 1.4553,                0.94051,                0.90129,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.4833,                0.90869,                0.90408,                0.68374,                 0.6893,                0.70744,                0.34192,                 1.5006,                0.92401,                0.90501,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.5686,                0.95831,                 0.9094,                0.68913,                0.76656,                0.78552,                0.39587,                  1.371,                0.84124,                0.88451,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.5252,                0.91383,                0.91878,                 0.7538,                0.72998,                0.79713,                0.38815,                 1.4924,                0.84527,                0.89941,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.5391,                0.90388,                 0.9054,                0.86328,                0.72603,                0.83138,                0.43538,                 1.4331,                0.72293,                0.88877,               0.009208,               0.009208,               0.009208
                     82,                 1.5364,                0.91411,                0.90282,                0.73672,                0.79291,                0.82056,                0.44028,                 1.3782,                0.70372,                0.88856,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.4903,                0.91004,                0.91149,                0.47194,                0.55877,                0.51399,                0.21865,                 1.6991,                 1.0309,                0.93574,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.4982,                0.89523,                0.90568,                0.66392,                0.73786,                0.77761,                0.36554,                 1.5788,                0.80044,                0.90274,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.5407,                0.92723,                0.91404,                0.64191,                0.69855,                0.70257,                0.33925,                 1.5141,                 0.9519,                 0.9111,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.5114,                0.89289,                0.90152,                0.75764,                0.77029,                0.82323,                0.40586,                 1.3821,                0.77407,                0.88545,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.5418,                0.94082,                0.91975,                 0.7847,                0.73294,                0.79415,                0.41514,                 1.3947,                0.77597,                0.88631,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.4983,                0.87921,                0.90242,                0.72859,                0.69024,                0.75943,                  0.406,                 1.3821,                0.83325,                0.89153,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.5175,                0.91303,                0.90903,                0.52292,                0.61147,                0.54046,                0.27267,                 1.5159,                 1.0778,                0.92458,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.5016,                0.89643,                0.90406,                0.72307,                0.67644,                0.71981,                0.38184,                 1.4258,                0.86765,                0.89822,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.5028,                 0.8698,                0.90841,                0.80178,                0.79421,                0.84316,                0.45922,                 1.3114,                0.67212,                0.87305,               0.009109,               0.009109,               0.009109
                     92,                 1.5331,                0.90899,                 0.9034,                0.69614,                0.69398,                0.72997,                0.37491,                  1.444,                0.86913,                0.90025,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.5153,                 0.8939,                0.90283,                0.79132,                0.77919,                0.83724,                0.47274,                 1.2923,                0.68752,                0.87685,              0.0090892,              0.0090892,              0.0090892
                     94,                   1.48,                0.88173,                0.89959,                0.73876,                0.71153,                0.75554,                0.40645,                 1.4175,                0.81119,                0.89618,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.4978,                0.89789,                0.90107,                0.72686,                0.73317,                0.75228,                0.37842,                 1.4365,                0.81204,                0.89289,              0.0090694,              0.0090694,              0.0090694
